[2023-04-13 12:35:32] [INFO]: Iteration 04400, Cost 165.54s, triplet_loss=0.1976, triplet_hard_loss=1.1658, triplet_loss_num=47651.5938, triplet_mean_dist=1.5132, softmax_loss=1.9255, softmax_accuracy=0.6543, affine_affineMatrixloss=0.0448, affine_affineTransloss=0.0030, affine_loss_num=331.2800, affine_loss_sum=0.0451, nonOccRecMSE_occ=0.6426, nonOccRecMSE_nonOcc=0.5718, nonOccRecMSE_loss=0.5718
[2023-04-13 12:38:22] [INFO]: Iteration 04500, Cost 170.14s, triplet_loss=0.1974, triplet_hard_loss=1.1661, triplet_loss_num=46347.5234, triplet_mean_dist=1.5326, softmax_loss=1.8604, softmax_accuracy=0.6802, affine_affineMatrixloss=0.0448, affine_affineTransloss=0.0030, affine_loss_num=353.0600, affine_loss_sum=0.0451, nonOccRecMSE_occ=0.6318, nonOccRecMSE_nonOcc=0.5645, nonOccRecMSE_loss=0.5645
[2023-04-13 12:41:05] [INFO]: Iteration 04600, Cost 162.81s, triplet_loss=0.1968, triplet_hard_loss=1.1641, triplet_loss_num=46856.8984, triplet_mean_dist=1.5207, softmax_loss=1.9118, softmax_accuracy=0.6617, affine_affineMatrixloss=0.0451, affine_affineTransloss=0.0030, affine_loss_num=346.1900, affine_loss_sum=0.0454, nonOccRecMSE_occ=0.6392, nonOccRecMSE_nonOcc=0.5645, nonOccRecMSE_loss=0.5645
[2023-04-13 12:43:47] [INFO]: Iteration 04700, Cost 162.66s, triplet_loss=0.1978, triplet_hard_loss=1.1740, triplet_loss_num=46255.6211, triplet_mean_dist=1.5376, softmax_loss=1.8901, softmax_accuracy=0.6737, affine_affineMatrixloss=0.0454, affine_affineTransloss=0.0030, affine_loss_num=338.5700, affine_loss_sum=0.0457, nonOccRecMSE_occ=0.6421, nonOccRecMSE_nonOcc=0.5698, nonOccRecMSE_loss=0.5698
[2023-04-13 12:46:29] [INFO]: Iteration 04800, Cost 161.58s, triplet_loss=0.1971, triplet_hard_loss=1.1706, triplet_loss_num=45642.8281, triplet_mean_dist=1.5392, softmax_loss=1.8987, softmax_accuracy=0.6668, affine_affineMatrixloss=0.0447, affine_affineTransloss=0.0030, affine_loss_num=326.0900, affine_loss_sum=0.0450, nonOccRecMSE_occ=0.6431, nonOccRecMSE_nonOcc=0.5640, nonOccRecMSE_loss=0.5640
[2023-04-13 12:49:10] [INFO]: Iteration 04900, Cost 160.98s, triplet_loss=0.1969, triplet_hard_loss=1.1706, triplet_loss_num=47009.8242, triplet_mean_dist=1.5332, softmax_loss=1.8611, softmax_accuracy=0.6813, affine_affineMatrixloss=0.0451, affine_affineTransloss=0.0030, affine_loss_num=340.7900, affine_loss_sum=0.0454, nonOccRecMSE_occ=0.6323, nonOccRecMSE_nonOcc=0.5649, nonOccRecMSE_loss=0.5649
[2023-04-13 12:51:52] [INFO]: Iteration 05000, Cost 162.57s, triplet_loss=0.1973, triplet_hard_loss=1.1719, triplet_loss_num=44597.1602, triplet_mean_dist=1.5597, softmax_loss=1.8888, softmax_accuracy=0.6712, affine_affineMatrixloss=0.0447, affine_affineTransloss=0.0030, affine_loss_num=328.5100, affine_loss_sum=0.0451, nonOccRecMSE_occ=0.6387, nonOccRecMSE_nonOcc=0.5674, nonOccRecMSE_loss=0.5674
[2023-04-13 12:54:37] [INFO]: Iteration 05100, Cost 164.80s, triplet_loss=0.1975, triplet_hard_loss=1.1729, triplet_loss_num=45619.8008, triplet_mean_dist=1.5583, softmax_loss=1.9172, softmax_accuracy=0.6606, affine_affineMatrixloss=0.0449, affine_affineTransloss=0.0030, affine_loss_num=342.9200, affine_loss_sum=0.0452, nonOccRecMSE_occ=0.6338, nonOccRecMSE_nonOcc=0.5630, nonOccRecMSE_loss=0.5630
[2023-04-13 12:57:22] [INFO]: Iteration 05200, Cost 164.97s, triplet_loss=0.1968, triplet_hard_loss=1.1672, triplet_loss_num=45343.9531, triplet_mean_dist=1.5527, softmax_loss=1.8741, softmax_accuracy=0.6740, affine_affineMatrixloss=0.0446, affine_affineTransloss=0.0030, affine_loss_num=352.7200, affine_loss_sum=0.0449, nonOccRecMSE_occ=0.6416, nonOccRecMSE_nonOcc=0.5669, nonOccRecMSE_loss=0.5669
[2023-04-13 13:00:06] [INFO]: Iteration 05300, Cost 163.60s, triplet_loss=0.1973, triplet_hard_loss=1.1696, triplet_loss_num=46100.9883, triplet_mean_dist=1.5491, softmax_loss=1.9085, softmax_accuracy=0.6647, affine_affineMatrixloss=0.0447, affine_affineTransloss=0.0030, affine_loss_num=330.9700, affine_loss_sum=0.0450, nonOccRecMSE_occ=0.6318, nonOccRecMSE_nonOcc=0.5596, nonOccRecMSE_loss=0.5596
